node_id,facility_limit_mil,baseline_pd,sc_adjusted_pd,lgd_rate,expected_loss_mil,pricing_spread_bps,lc_approval_status
SUP_000,15.12,0.0398,0.0487,0.4,0.294,306.7,1
SUP_001,4.77,0.2303,0.2533,0.6,0.724,808.3,0
SUP_002,15.38,0.0575,0.0695,0.6,0.642,348.1,1
SUP_003,21.39,0.0801,0.0842,0.6,1.08,381.8,0
SUP_004,28.8,0.0649,0.0789,0.6,1.364,375.6,1
SUP_005,26.16,0.0432,0.0475,0.4,0.497,277.5,1
SUP_006,11.08,0.019,0.0225,0.4,0.1,246.4,1
SUP_007,18.14,0.0505,0.0633,0.6,0.689,347.0,1
SUP_008,18.6,0.0668,0.0845,0.6,0.942,367.6,0
SUP_009,5.44,0.012,0.0172,0.4,0.037,226.9,1
SUP_010,18.6,0.0272,0.0307,0.4,0.228,235.0,1
SUP_011,11.04,0.0431,0.069,0.6,0.457,335.1,1
SUP_012,29.91,0.0322,0.0405,0.4,0.484,279.0,1
SUP_013,18.49,0.0299,0.0299,0.4,0.221,233.4,1
SUP_014,2.28,0.0716,0.0967,0.6,0.132,425.1,0
SUP_015,26.65,0.0162,0.0293,0.4,0.312,257.7,1
SUP_016,13.41,0.0268,0.0301,0.4,0.162,242.7,1
SUP_017,9.35,0.2381,0.4149,0.6,2.328,1193.4,0
SUP_018,5.81,0.1119,0.182,0.6,0.635,616.4,0
SUP_019,20.71,0.0326,0.0359,0.4,0.297,261.1,1
SUP_020,17.22,0.0839,0.086,0.6,0.889,434.7,0
SUP_021,8.64,0.1415,0.2145,0.6,1.112,708.3,0
SUP_022,18.23,0.0496,0.0683,0.6,0.747,331.6,1
SUP_023,27.96,0.0708,0.0708,0.6,1.188,349.1,1
SUP_024,28.15,0.0669,0.0714,0.6,1.206,346.9,1
SUP_025,2.16,0.0499,0.0722,0.6,0.094,360.7,1
SUP_026,14.97,0.0486,0.0486,0.4,0.291,279.4,1
SUP_027,5.15,0.0227,0.0282,0.4,0.058,249.3,1
SUP_028,19.32,0.0644,0.0703,0.6,0.815,344.2,1
SUP_029,14.84,0.019,0.0278,0.4,0.165,278.2,1
SUP_030,14.5,0.0605,0.0673,0.6,0.586,331.0,1
SUP_031,26.3,0.0965,0.1155,0.6,1.822,460.8,0
SUP_032,15.83,0.0574,0.0575,0.6,0.546,342.7,1
SUP_033,8.9,0.0204,0.0347,0.4,0.124,244.5,1
SUP_034,24.0,0.0435,0.0457,0.4,0.439,314.6,1
SUP_035,14.38,0.0176,0.0191,0.4,0.11,222.4,1
SUP_036,10.42,0.0553,0.0608,0.6,0.38,309.1,1
SUP_037,21.97,0.0607,0.0637,0.6,0.84,321.0,1
SUP_038,13.21,0.0707,0.0707,0.6,0.56,352.3,1
SUP_039,21.16,0.0411,0.0411,0.4,0.347,259.7,1
SUP_040,27.74,0.0345,0.0363,0.4,0.403,260.7,1
SUP_041,24.95,0.0473,0.0473,0.4,0.472,281.1,1
SUP_042,29.49,0.0294,0.0458,0.4,0.541,286.1,1
SUP_043,19.44,0.0749,0.0749,0.6,0.874,344.0,1
