source,target,flow_value_mil,edge_type,transit_mode
SUP_000,MFG_021,24.225827796009177,material_flow,truck
SUP_000,MFG_020,14.54548912813575,material_flow,rail
SUP_001,MFG_050,14.995067762868864,material_flow,ocean
SUP_002,MFG_059,13.752563962064684,material_flow,ocean
SUP_003,MFG_047,3.022344787740426,material_flow,ocean
SUP_003,MFG_040,17.32922593030053,material_flow,ocean
SUP_004,MFG_043,4.27288785922158,material_flow,truck
SUP_004,MFG_015,20.515543724031637,material_flow,ocean
SUP_004,MFG_051,19.58606787055128,material_flow,ocean
SUP_005,MFG_033,3.4135055700026644,material_flow,ocean
SUP_006,MFG_031,18.908311325254537,material_flow,truck
SUP_006,MFG_026,4.854248681039405,material_flow,ocean
SUP_006,MFG_019,5.606930535897418,material_flow,truck
SUP_007,MFG_057,3.3815103062715224,material_flow,ocean
SUP_008,MFG_005,22.2242422713109,material_flow,ocean
SUP_009,MFG_009,4.988439990633981,material_flow,ocean
SUP_010,MFG_046,7.696198968347119,material_flow,ocean
SUP_010,MFG_032,24.971030459575708,material_flow,ocean
SUP_011,MFG_036,17.032078017832337,material_flow,ocean
SUP_012,MFG_040,17.506460952777637,material_flow,ocean
SUP_012,MFG_058,18.675356190857748,material_flow,ocean
SUP_013,MFG_010,9.800293112871554,material_flow,ocean
SUP_013,MFG_008,24.434956706449846,material_flow,rail
SUP_013,MFG_020,20.203301986049823,material_flow,ocean
SUP_014,MFG_058,1.6499472080812252,material_flow,ocean
SUP_014,MFG_048,8.114677305859676,material_flow,rail
SUP_015,MFG_012,8.57784165961689,material_flow,truck
SUP_015,MFG_039,6.276686952855445,material_flow,ocean
SUP_015,MFG_025,22.585900532015806,material_flow,ocean
SUP_016,MFG_054,22.933030967723113,material_flow,rail
SUP_017,MFG_029,3.627783341307092,material_flow,ocean
SUP_018,MFG_039,6.2254935923904045,material_flow,truck
SUP_019,MFG_005,20.63938762420727,material_flow,ocean
SUP_020,MFG_005,2.87924009150938,material_flow,ocean
SUP_020,MFG_051,3.360278118165115,material_flow,ocean
SUP_020,MFG_011,23.57193276431226,material_flow,rail
SUP_021,MFG_040,16.11240628622087,material_flow,ocean
SUP_021,MFG_006,4.99692432393448,material_flow,rail
SUP_022,MFG_018,15.927538962252978,material_flow,truck
SUP_022,MFG_048,24.018021814777683,material_flow,ocean
SUP_022,MFG_000,18.21694657751136,material_flow,truck
SUP_023,MFG_033,15.25927339546123,material_flow,truck
SUP_023,MFG_002,15.849927578982552,material_flow,ocean
SUP_023,MFG_003,6.225397571173653,material_flow,ocean
SUP_024,MFG_029,6.089949699457065,material_flow,ocean
SUP_024,MFG_041,7.7508295252728185,material_flow,ocean
SUP_025,MFG_010,7.565008696046486,material_flow,ocean
SUP_025,MFG_014,24.58864282853009,material_flow,ocean
SUP_026,MFG_017,21.547686927871847,material_flow,ocean
SUP_026,MFG_046,3.1773011859479405,material_flow,ocean
SUP_026,MFG_016,21.994385501295845,material_flow,ocean
SUP_027,MFG_052,9.01709316207903,material_flow,ocean
SUP_027,MFG_053,6.732283849686566,material_flow,rail
SUP_028,MFG_018,22.95266944808937,material_flow,ocean
SUP_028,MFG_045,11.885747430764194,material_flow,ocean
SUP_028,MFG_050,18.48728853560558,material_flow,ocean
SUP_029,MFG_016,4.265349626359431,material_flow,truck
SUP_029,MFG_005,4.714864836306687,material_flow,ocean
SUP_030,MFG_052,22.456172750003347,material_flow,ocean
SUP_030,MFG_025,7.304073647931629,material_flow,truck
SUP_031,MFG_039,1.253239283581613,material_flow,ocean
SUP_031,MFG_034,14.364128672565785,material_flow,truck
SUP_032,MFG_019,4.4268552800292325,material_flow,ocean
SUP_032,MFG_006,23.84085775337289,material_flow,ocean
SUP_032,MFG_057,21.834355836809507,material_flow,truck
SUP_033,MFG_022,13.2089436211904,material_flow,ocean
SUP_033,MFG_024,18.874017559118133,material_flow,ocean
SUP_034,MFG_058,22.409412645032656,material_flow,truck
SUP_034,MFG_041,13.200531701550215,material_flow,rail
SUP_035,MFG_020,5.340988586208073,material_flow,truck
SUP_035,MFG_013,7.051454940134645,material_flow,ocean
SUP_035,MFG_034,2.8127984597657827,material_flow,truck
SUP_036,MFG_037,1.2411275453159583,material_flow,ocean
SUP_037,MFG_005,17.22777600288269,material_flow,rail
SUP_037,MFG_007,18.514492277768348,material_flow,truck
SUP_038,MFG_011,4.716193471538919,material_flow,ocean
SUP_038,MFG_015,17.728312334422313,material_flow,ocean
SUP_038,MFG_026,10.275101543870445,material_flow,ocean
SUP_039,MFG_054,3.801949666451093,material_flow,ocean
SUP_039,MFG_059,13.884619516062841,material_flow,rail
SUP_039,MFG_005,8.40045092022877,material_flow,truck
SUP_040,MFG_032,11.512523112407905,material_flow,ocean
SUP_040,MFG_004,11.294055027849048,material_flow,ocean
SUP_041,MFG_024,20.174765489720947,material_flow,truck
SUP_041,MFG_007,10.966274501747693,material_flow,ocean
SUP_041,MFG_008,7.813076358177117,material_flow,ocean
SUP_042,MFG_012,1.0919269720077418,material_flow,ocean
SUP_042,MFG_002,23.522743369849785,material_flow,ocean
SUP_043,MFG_018,21.993929763735395,material_flow,rail
SUP_043,MFG_055,20.32224104318863,material_flow,truck
SUP_043,MFG_012,14.213087214879891,material_flow,truck
SUP_044,MFG_024,17.226232819949843,material_flow,ocean
SUP_044,MFG_037,23.357065770556485,material_flow,ocean
SUP_045,MFG_056,5.586534944587479,material_flow,truck
SUP_046,MFG_042,21.4122796474496,material_flow,truck
SUP_047,MFG_048,11.12391605254368,material_flow,truck
SUP_047,MFG_033,22.66790336886315,material_flow,truck
SUP_047,MFG_022,10.943848336484983,material_flow,ocean
